Ciudad;Placa (COP);Cancha (COP);Cubierta (COP);Año
Bogotá;40000000;100000000;60000000;2025
Medellín;40000000;100000000;60000000;2025
Cali;40000000;100000000;60000000;2025
Barranquilla;40000000;100000000;60000000;2025
Cartagena;40000000;100000000;60000000;2025
Cúcuta;38000000;95000000;57000000;2025
Bucaramanga;38000000;95000000;57000000;2025
Soledad;38000000;95000000;57000000;2025
Ibagué;38000000;95000000;57000000;2025
Soacha;38000000;95000000;57000000;2025
Santa Marta;38000000;95000000;57000000;2025
Villavicencio;38000000;95000000;57000000;2025
Valledupar;36000000;90000000;54000000;2025
Montería;36000000;90000000;54000000;2025
Manizales;36000000;90000000;54000000;2025
Pereira;36000000;90000000;54000000;2025
Neiva;36000000;90000000;54000000;2025
Armenia;36000000;90000000;54000000;2025
Pasto;36000000;90000000;54000000;2025
Popayán;36000000;90000000;54000000;2025
Sincelejo;36000000;90000000;54000000;2025
Itagüí;36000000;90000000;54000000;2025
Floridablanca;36000000;90000000;54000000;2025
Envigado;36000000;90000000;54000000;2025
Palmira;36000000;90000000;54000000;2025
Tuluá;36000000;90000000;54000000;2025
Riohacha;36000000;90000000;54000000;2025
Dosquebradas;36000000;90000000;54000000;2025
Tunja;36000000;90000000;54000000;2025
Quibdó;36000000;90000000;54000000;2025
Buenaventura;36000000;90000000;54000000;2025
Girón;36000000;90000000;54000000;2025
Yopal;36000000;90000000;54000000;2025
Facatativá;36000000;90000000;54000000;2025
Zipaquirá;36000000;90000000;54000000;2025
Jamundí;36000000;90000000;54000000;2025
Rionegro;36000000;90000000;54000000;2025
Magangué;36000000;90000000;54000000;2025
Maicao;36000000;90000000;54000000;2025
Pitalito;36000000;90000000;54000000;2025
Cereté;36000000;90000000;54000000;2025
Fusagasugá;36000000;90000000;54000000;2025
Ciénaga;36000000;90000000;54000000;2025
Buga;36000000;90000000;54000000;2025
Florencia;36000000;90000000;54000000;2025
Turbo;36000000;90000000;54000000;2025
Chía;36000000;90000000;54000000;2025
Sogamoso;36000000;90000000;54000000;2025
Duitama;36000000;90000000;54000000;2025
